Date,Merchant,Amount
2026-01-16,MICROSOFT 365,64286.37
2025-02-19,PACKAGING SUPPLIES DIRECT,51070.91
2025-05-24,ALIBABA.COM,24069.72
2025-01-26,BRITISH GAS,10121.09
2026-01-01,DHL EXPRESS,33897.16
2025-01-18,TIKTOK ADS,98848.3
2025-07-02,GOOGLE ADS,40897.35
2025-12-07,GOOGLE ADS,43759.75
2025-10-13,HMRC PAYE,58467.32
2025-10-06,SLACK,54397.12
2025-10-10,HMRC PAYE,80647.2
2025-02-10,DHL EXPRESS,20344.9
2025-10-05,TIKTOK ADS,1234.57
2025-12-11,ROYAL MAIL,65769.18
2025-11-07,TIKTOK ADS,15464.05
2026-01-10,BRITISH GAS,52120.21
2025-09-10,ADOBE CREATIVE CLOUD,9493.13
2025-09-17,MICROSOFT 365,10406.42
2025-05-07,STRIPE PAYMENTS,54481.53
2025-01-24,REGUS,93448.7
